Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
2015/9/17,-30,餐饮,,,,,,
2015/9/18,-22,餐饮,,,,,,
2015/9/19,-59.5,餐饮,,,,,,
2015/9/20,-150,餐饮,海喧,,,,,
2015/9/21,-10,交通,,,,,,
2015/9/22,-18,餐饮,,,,,,
2015/9/23,-13.5,餐饮,,,,,,
2015/9/23,-10,交通,,,,,,
2015/9/24,-10,交通,洗车,,,,,
2015/9/24,-14,餐饮,,,,,,
2015/9/25,-55.5,餐饮,,,,,,
2015/9/26,-300,生活用品,电视支架,,,,,
2015/9/26,-30,餐饮,伊藤超市,,,,,
2015/9/26,-28,餐饮,,,,,,
2015/9/27,-30,餐饮,,,,,,
2015/9/27,-98.5,固定支出,话费,,,,,
2015/9/27,-6450,购物,defy adv3,,,,,
2015/9/28,-50,餐饮,,,,,,
2015/9/29,-170,固定支出,理发 20次,,,,,
2015/9/29,-59,餐饮,,,,,,
2015/9/30,-30,娱乐,网吧,,,,,
2015/10/1,-650,购物,香薰机 + 香薰一枚,,-12650.1,3991,-8659.1,
2015/10/4,-100,餐饮,,,,,,
2015/10/5,-69,购物,链条油 + 束裤带,,,,,
2015/10/5,-298,购物,捷酷骑行裤,,,,,
2015/10/5,-77,购物,自行车架,,,,,
2015/10/5,-178,购物,路由器,,,,,
2015/10/6,-200,餐饮,,,,,,
2015/10/6,-18.6,娱乐,电影,头脑特工队 还不错,,,,
2015/10/7,-254,购物,雷音打气筒,,,,,
2015/10/7,-49,购物,USB分线器,,,,,
2015/10/7,-497,购物,电脑椅,,,,,
2015/10/8,-378,餐饮,大喜川菜,味道还可以，5人,,,,
2015/10/8,-9,交通,会展停车,,,,,
2015/10/9,-5,餐饮,抄手,,,,,
2015/10/10,-98.5,固定支出,话费,,,,,
2015/10/12,-299,购物,小米盒子,,,,,
2015/10/12,-60,娱乐,DOTA2本子,,,,,
2015/10/13,-79,餐饮,,,,,,
2015/10/14,-113,生活用品,天猫超市,纸、油瓶,,,,
2015/10/15,-1363,其他,信用卡,,,,,
2015/10/16,-144,餐饮,京东,卡乐比麦片,,,,
2015/10/16,-114,娱乐,电影,《蚁人》微观不错,,,,
2015/10/17,-150,购物,梳妆台运费,,,,,
2015/10/17,-200,固定支出,电费,,,,,
2015/10/17,-146,餐饮,77烤生蚝,味道还行,,,,
2015/10/18,-100,娱乐,凯德射箭,不错,,,,
2015/10/23,-70.5,餐饮,KFC,,,,,
2015/10/23,-816,固定支出,宽带年费,,,,,
2015/10/24,-8,餐饮,买菜,,,,,
2015/10/25,-33.5,餐饮,买菜,,,,,
2015/10/26,-1200,购物,SSD,OCZ ARC 100 480GB,,,,
2015/10/27,-4750,购物,alienware alpha,退回950,,,,
2015/10/27,-23,餐饮,汉堡王,,,,,
2015/10/27,-6,交通,,,,,,
2015/10/29,-19,餐饮,,,,,,
2015/10/30,-12,餐饮,,,,,,
2015/10/31,-63,娱乐,网鱼网咖,,,,,
2015/11/2,-219,购物,浴足盆,,-4436.2,3437,-999.2,
2015/11/6,-33,餐饮,,,,,,
2015/11/7,-45,餐饮,车上矿泉水*15,,,,,
2015/11/7,-70,娱乐,网吧,,,,,
2015/11/9,-90.5,餐饮,天猫超市,,,,,
2015/11/10,-110,购物,京东,转换头，U盘，充电线等,,,,
2015/11/10,-29.9,购物,袜子*2盒,,,,,
2015/11/11,-1000,其他,信用卡,,,,,
2015/11/11,-98.5,固定支出,话费,,,,,
2015/11/11,-59.4,购物,pilot百乐钢笔,好用,,,,
